parameter,mean,median,mode,hpd_min,hpd_max,method,repressors,operator,IPTGuM,pred_bohr
delta_bohr,-3.615784740442656,-3.8218407173825195,-4.132432823817666,-5.477462966629707,-1.2707979321624077,flow cytometry,22.0,O3,500.0,8.70288570281986
empirical_bohr,4.529386877061555,4.310492719015535,4.048204701229422,2.9663427537554847,6.630702368176815,flow cytometry,22.0,O3,1000.0,8.93168176674892
fc_mu,0.9849794338088553,0.9867509616789816,0.9828457241589676,0.9651148991350489,0.9999999905027296,flow cytometry,22.0,O3,1000.0,8.93168176674892
fc_sigma,0.03775652379454602,0.0351140775878753,0.032499292620139765,0.019278388973268952,0.062173336534353536,flow cytometry,22.0,O3,1000.0,8.93168176674892
delta_bohr,-4.402294889687359,-4.621189047733385,-4.8834770655194975,-5.965339012993435,-2.300979398572105,flow cytometry,22.0,O3,1000.0,8.93168176674892
empirical_bohr,-4.293467055130434,-4.29170977040932,-4.285631909713858,-4.448261032976526,-4.132349136154081,flow cytometry,60.0,O1,0.0,-4.041729955914185
fc_mu,0.013515629753600782,0.01349685563768549,0.013578020215478936,0.01147574199794843,0.015691671012282526,flow cytometry,60.0,O1,0.0,-4.041729955914185
fc_sigma,0.003372757696235977,0.0031965275723319906,0.0029085973237147037,0.001893316891661409,0.005158939004645717,flow cytometry,60.0,O1,0.0,-4.041729955914185
delta_bohr,-0.25173709921624543,-0.24997981449513507,-0.24390195379967317,-0.4065310770623407,-0.09061918023989612,flow cytometry,60.0,O1,0.0,-4.041729955914185
empirical_bohr,-4.495626515774323,-4.4769860820813765,-4.451899809691909,-4.8852074169056365,-4.121304108335223,flow cytometry,60.0,O1,0.1,-4.037225280279486
fc_mu,0.01122939143218742,0.011239852261105965,0.01152209482059352,0.00704753203593067,0.015306293472446164,flow cytometry,60.0,O1,0.1,-4.037225280279486
fc_sigma,0.006709215195723286,0.006396525556919625,0.005873377637240051,0.003816553178500257,0.010167032017214478,flow cytometry,60.0,O1,0.1,-4.037225280279486
delta_bohr,-0.45840123549482414,-0.4397608018018899,-0.414674529412423,-0.8479821366261504,-0.08407882805573674,flow cytometry,60.0,O1,0.1,-4.037225280279486
empirical_bohr,-3.4628044156020956,-3.4598947783561655,-3.455766134899009,-3.638599950541961,-3.2981209977121817,flow cytometry,60.0,O1,5.0,-3.298121217496144
fc_mu,0.03048979517773827,0.030475142034887326,0.030597365372108665,0.025615709710483436,0.03563570638190161,flow cytometry,60.0,O1,5.0,-3.298121217496144
fc_sigma,0.008017506751220772,0.0075851600508461455,0.006955833286506751,0.00456455094434557,0.01217838381792437,flow cytometry,60.0,O1,5.0,-3.298121217496144
